Constellation,Name,Bayer,Flamsteed,Variable Star,Henry Draper Number,Hipparcos Number,Right Ascension,Declination,Visual Magnitude,Absolute Magnitude,Distance,Spectral class,Notes
Canes Venatici,HD 109317,,,,109317,61309,12h 33m 38.90s,+33° 14′ 51.6′′,5.42,0.86,266,K0IIICN...,
Canes Venatici,La Superba,,,Y,110914,62223,12h 45m 07.83s,+45° 26′ 24.8′′,5.42,−1.27,710,C7Iab,"semiregular variable, *V* max = 4.86m, *V* min = 5.88m, *P* = 267.8 d"
Canes Venatici,HD 120164,,,,120164,67250,13h 46m 59.87s,+38° 32′ 33.9′′,5.51,0.67,304,K0III+...,
Canes Venatici,23 CVn,,23,,116010,65072,13h 20m 19.00s,+40° 09′ 02.0′′,5.60,−0.91,655,K1III,
Canes Venatici,Alpha1 Canum Venaticorum,α1,12,,112412,63121,12h 56m 00.60s,+38° 18′ 52.9′′,5.61,2.78,120.2,F0V,component of the Cor Caroli system
Canes Venatici,HD 120420,,,,120420,67384,13h 48m 38.74s,+31° 11′ 24.4′′,5.61,0.71,311,K0III,
Canes Venatici,HD 113847,,,,113847,63916,13h 05m 52.28s,+45° 16′ 06.6′′,5.64,−0.21,483,K1III,"suspected variable, *V* max = 5.64m, *V* min = 5.84m"
Canes Venatici,2 CVn,,2,,106690,59831,12h 16m 07.54s,+40° 39′ 36.9′′,5.69,−1.35,834,M1III,
Canes Venatici,TU CVn,,,TU,112264,63024,12h 54m 56.54s,+47° 11′ 48.3′′,5.75,−0.92,704,M5III,"semiregular variable, *V* max = 5.50m, *V* min = 6.2m, *P* = 44.2 d"
Canes Venatici,19 Canum Venaticorum,,19,,115271,64692,13h 15m 32.05s,+40° 51′ 18.6′′,5.77,1.39,245,A7V,
Canes Venatici,HD 115723,,,,115723,64927,13h 18m 27.71s,+34° 05′ 53.9′′,5.81,−0.14,504,K4.5III,
Canes Venatici,HD 111604,,,DT,111604,62641,12h 50m 10.81s,+37° 31′ 00.8′′,5.87,0.50,387,A3V,δ Sct variable
Canes Venatici,HD 116957,,,,116957,65550,13h 26m 16.58s,+46° 01′ 41.2′′,5.88,0.68,357,K0III:,
Canes Venatici,HD 120047,,,,120047,67194,13h 46m 13.63s,+41° 05′ 19.9′′,5.88,2.33,167,A5V,
Canes Venatici,HD 120819,,,,120819,67605,13h 51m 09.21s,+34° 39′ 52.3′′,5.89,−0.69,676,M2III,"variable star, Δ*V* = 0.010m, *P* = 7.94786 d"
Canes Venatici,17 CVn,,17,,114447,64246,13h 10m 03.27s,+38° 29′ 55.9′′,5.91,1.95,202,A9III-IV,"γ Dor variable , Δ*V* = 0.008m, *P* = 0.69004 d"
Canes Venatici,HD 121164,,,,121164,67782,13h 53m 10.36s,+28° 38′ 53.0′′,5.91,1.86,211,A7V,
Canes Venatici,HD 120048,,,,120048,67210,13h 46m 19.10s,+38° 30′ 13.2′′,5.92,0.46,403,G9III,
Canes Venatici,10 Canum Venaticorum,,10,,110897,62207,12h 44m 59.68s,+39° 16′ 42.9′′,5.95,4.75,57,G0V,
Canes Venatici,HD 119458,,,,119458,66907,13h 42m 43.42s,+34° 59′ 20.4′′,5.98,0.11,486,G5III,
Canes Venatici,HD 114357,,,,114357,64212,13h 09m 38.72s,+37° 25′ 23.3′′,6.01,1.20,299,K3III,
Canes Venatici,HD 115810,,,,115810,64979,13h 19m 04.27s,+35° 07′ 40.6′′,6.01,1.94,213,F0IV,
Canes Venatici,4 Canum Venaticorum,,4,AI,107904,60467,12h 23m 47.08s,+42° 32′ 33.8′′,6.03,0.98,334,F3IV,"δ Sct variable, *V* max = 5.89m, *V* min = 6.15m, *P* = 0.2085 d"
Canes Venatici,HD 117710,,,,117710,65951,13h 31m 15.84s,+42° 06′ 21.9′′,6.07,1.53,263,K2III,
Canes Venatici,CL CVn,,,CL,116581,65376,13h 23m 53.92s,+37° 02′ 02.2′′,6.10,−1.74,1207,M3III,"slow irregular variable , Δ*V* = ~0.10m"
Canes Venatici,HD 112570,,,,112570,63211,12h 57m 07.80s,+46° 10′ 36.9′′,6.12,0.99,344,K0III-IV,"suspected variable, *V* max = 6.12m, *V* min = 6.5m"
Canes Venatici,7 CVn,,7,,108845,60988,12h 30m 03.10s,+51° 32′ 08.1′′,6.21,2.94,147,F7V,
Canes Venatici,HD 119035,,,,119035,66690,13h 40m 15.63s,+31° 00′ 42.5′′,6.21,0.12,540,G5II:,
Canes Venatici,HD 119081,,,,119081,66725,13h 40m 39.12s,+28° 03′ 54.5′′,6.22,0.88,382,K3III,
Canes Venatici,HD 109345,,,,109345,61320,12h 33m 47.41s,+33° 23′ 04.9′′,6.24,0.94,374,K0III,
Canes Venatici,11 CVn,,11,,111421,62516,12h 48m 41.86s,+48° 28′ 00.5′′,6.25,0.49,463,A6m,
Canes Venatici,HD 112171,,,,112171,62972,12h 54m 13.15s,+33° 32′ 03.9′′,6.25,1.89,243,A7IV,
Canes Venatici,15 CVn,,15,,114376,64217,13h 09m 42.04s,+38° 32′ 01.9′′,6.25,−1.48,1144,B7III,
Canes Venatici,HD 122675,,,,122675,68567,14h 02m 12.17s,+45° 45′ 13.1′′,6.28,0.17,544,K2III,
Canes Venatici,HD 119445,,,,119445,66892,13h 42m 28.87s,+41° 40′ 27.3′′,6.30,−1.00,942,G6III,
Canes Venatici,HD 121682,,,,121682,68065,13h 56m 10.54s,+32° 01′ 56.9′′,6.31,2.01,236,F4IV-V,
Canes Venatici,HD 107610,,,,107610,60305,12h 21m 56.30s,+47° 10′ 56.1′′,6.33,1.46,307,K2III,
Canes Venatici,HD 110834,,,,110834,62172,12h 44m 27.12s,+44° 06′ 10.8′′,6.34,1.54,298,F6IV,
Canes Venatici,HD 116303,,,,116303,65230,13h 22m 03.97s,+43° 54′ 12.0′′,6.34,0.60,458,A7m,"suspected variable, *V* max = 6.34m, *V* min = 6.37m"
Canes Venatici,9 CVn,,9,,109980,61692,12h 38m 46.30s,+40° 52′ 28.9′′,6.35,2.27,213,A7Vn,suspected variable
Canes Venatici,HD 118156,,,,118156,66223,13h 34m 21.85s,+38° 47′ 21.2′′,6.37,2.20,223,F0IV,
Canes Venatici,HD 110066,,,AX,110066,61748,12h 39m 16.85s,+35° 57′ 07.1′′,6.39,0.44,505,A0p SrCrEu,"α2 CVn variable, *V* max = 6.32m, *V* min = 6.55m, *P* = 4900 d"
Canes Venatici,HD 117361,,,,117361,65754,13h 28m 45.80s,+50° 43′ 07.5′′,6.42,1.97,253,F0IV,
Canes Venatici,HD 120600,,,,120600,67483,13h 49m 44.98s,+36° 37′ 58.0′′,6.43,2.37,212,A7IV-V,
Canes Venatici,HD 121197,,,,121197,67778,13h 53m 08.44s,+40° 20′ 16.8′′,6.48,−1.64,1370,K5,
Canes Venatici,HD 117261,,,,117261,65723,13h 28m 26.23s,+40° 43′ 47.2′′,6.49,0.88,432,G8III,
Canes Venatici,HD 111572,,,,111572,62600,12h 49m 38.05s,+48° 44′ 24.2′′,6.50,0.58,497,K1III,"suspected variable, *V* max = 6.47m, *V* min = 6.53m"
Canes Venatici,HD 114975,,,,114975,64530,13h 13m 35.94s,+36° 53′ 15.3′′,6.50,−1.58,1347,M0,
Canes Venatici,V CVn,,,V,115898,65006,13h 19m 27.77s,+45° 31′ 37.7′′,6.74,-2.46,2260,M6IIIa,"semiregular variable, *V* max = 6.52m, *V* min = 8.56m, *P* = 191.89 d"
Canes Venatici,HD 108100,,,DD,108100,60571,12h 24m 13.93s,+42° 51′ 17.0′′,7.15,2.58,267.4,F2V,"γ Dor variable, Δ*V* = 0.04m, *P* = 0.754307 d"
Canes Venatici,BM CVn,,,BM,116204,65187,13h 21m 32.26s,+38° 52′ 49.5′′,7.21,1.94,368,K2III,"RS CVn variable , Δ*V* = 0.06m, *P* = 21.7 d"
Canes Venatici,R Canum Venaticorum,,,R,120499,67410,13h 48m 57.20s,+39° 32′ 34.0′′,7.40,-2.51,3130,M6IIIe,"Mira variable , *V* max = 6.5m, *V* min = 12.9m, *P* = 328.53 d"
Canes Venatici,HD 109995,,,,109995,61696,12h 38m 47.60s,+39° 18′ 31.6′′,7.64,0.46,891,A0p,horizontal-branch star
Canes Venatici,HD 115781,,,BL,115781,64956,13h 18m 51.94s,+33° 26′ 19.3′′,8.13,1.5,691,K1III,"rotating ellipsoidal variable , Δ*V* = 0.24m, *P* = 18.692 d"
Canes Venatici,RS Canum Venaticorum,,,RS,114519,64293,13h 10m 36.91s,+35° 56′ 05.6′′,8.23,3.06,352,F4V+...,"prototype RS CVn variable, *V* max = 7.93m, *V* min = 9.14m, *P* = 4.797887 d"
Canes Venatici,TT CVn,,,TT,112869,63389,12h 59m 22.64s,+37° 49′ 03.7′′,8.91,,,Rp...,semiregular variable
Canes Venatici,HD 115444,,,,115444,64786,13h 16m 42.46s,+36° 22′ 52.7′′,8.97,1.72,918,G9V,barium star
Canes Venatici,TX CVn,,,TX,,,12h 44m 22.07s,+36° 45′ 50.7′′,9.34,,,B1-B9Veq + K0III-M4,"Z And and rotating ellipsoidal variable, *V* max = 9.34m, *V* min = 10.28m, *P* = 199.75 d"
Canes Venatici,VZ CVn,,,VZ,117777,66017,13h 32m 03.39s,+28° 35′ 04.9′′,9.35,1.1,1460,F3V + F6V,"Algol and γ Dor variable, *V* max = 9.17m, *V* min = 9.72m, *P* = 0.84246163 d"
Canes Venatici,HIP 65407,,,,,65407,13h 24m 21.0s,+48° 53′ 06′′,9.42,8.29,55,K0,has two planets (b & c )
Canes Venatici,Gliese 521,,,,,66625,13h 39m 24.10s,+46° 11′ 11.4′′,10.26,9.69,42.41,M2.0V,possibly has a planet
Canes Venatici,BI CVn,,,BI,,63701,13h 03m 16.41s,+36° 37′ 00.6′′,10.31,3.41,782,F9V,"W UMa variable , *V* max = 10.26m, *V* min = 10.71m, *P* = 0.38416 d"
Canes Venatici,W CVn,,,W,,68908,14h 06m 27.98s,+37° 49′ 41.5′′,10.49,-0.39,4900,F2III,"RR Lyr variable , *V* max = 10.03m, *V* min = 10.96m, *P* = 0.5517588 d"
Canes Venatici,Gliese 490,,,BF,,63253,12h 57m 40.26s,+35° 13′ 30.0′′,10.52,9.1,62.78,M0.0V,"binary star; BY Dra variable and flare star , *V* max = 10.5m, *V* min = 10.6m, *P* = 3.17 d"
Canes Venatici,ST CVn,,,ST,,68188,13h 57m 34.06s,+29° 51′ 28.7′′,11.21,,,A1,"RR Lyr variable, *V* max = 11.04m, *V* min = 11.6m, *P* = 0.329045 d"
Canes Venatici,UZ CVn,,,UZ,,61029,12h 30m 27.70s,+40° 30′ 32.0′′,12.11,4.76,964,A8,RR Lyr variable
Canes Venatici,Z CVn,,,Z,,,12h 49m 45.37s,+43° 46′ 25.1′′,12.12,,,A5,"RR Lyr variable, *V* max = 11.46m, *V* min = 12.36m, *P* = 0.653819 d"
Canes Venatici,DG Canum Venaticorum,,,DG,,,13h 31m 46.62s,+29° 16′ 36.7′′,12.19,12.69,25.9,M4.0V,flare star and BY Dra variable
Canes Venatici,HAT-P-36,,,,,,12h 33m 03s,+44° 54′ 55′′,12.26,4.75,1034,,Tuiren; has a transiting planet (Bran) )
Canes Venatici,UX CVn,,,UX,,,12h 14m 48.54s,+36° 38′ 49.3′′,,,,B2,rotating ellipsoidal variable and eclipsing binary
Canes Venatici,HAT-P-12,,,,,,13h 57m 33.48s,+43° 29′ 36.7′′,12.84,,,K5,has a transiting planet
Canes Venatici,AM Canum Venaticorum,,,AM,,,12h 34m 54.60s,+37° 37′ 44.1′′,14.18,9.15,330,DBp,prototype AM CVn star
Canes Venatici,GD 154,,,BG,,,13h 09m 57.69s,+35° 09′ 47.1′′,15.33,,,DA4.4,"ZZ Cet variable , Δ*V* = 0.09m, *P* = 0.013727 d"
Canis Major,Sirius,α,9,,48915,32349,06h 45m 09.25s,−16° 42′ 47.3′′,−1.46,1.42,8.6,A0m...,"Alhabor, Aschere, Canicula, the Dog Star; brightest star , 5th nearest star system; binary"
Canis Major,Epsilon Canis Majoris,ε,21,,52089,33579,06h 58m 37.55s,−28° 58′ 19.5′′,1.50,−4.10,431,B2II,"Adhara, Aoul al Adzari, Prima Virginum[1] part of Al ʽAdhārā or Al Adzari[2][3]"
Canis Major,Delta Canis Majoris,δ,25,,54605,34444,07h 08m 23.49s,−26° 23′ 35.5′′,1.83,−6.87,1791,F8Ia,"Wezen, Thalath al Adzari, Tertia Virginum,1] part of Al ʽAdhārā or Al Adzari;[2][3][variable star , Δ*V* = 0.004m, *P* = 24.08478 d"
Canis Major,Beta Canis Majoris,β,2,,44743,30324,06h 22m 41.99s,−17° 57′ 21.3′′,1.98,−3.95,499,B1II/III,"Mirzam (Murzim); β Cep variable , *V* max = 1.93m, *V* min = 2m, *P* = 0.25003 d"
Canis Major,Eta Canis Majoris,η,31,,58350,35904,07h 24m 05.71s,−29° 18′ 11.2′′,2.45,−7.51,3196,B5Ia,"Aludra, part of Al ʽAdhārā or Al Adzari;2][3][α Cyg variable"
Canis Major,Zeta Canis Majoris,ζ,1,,44402,30122,06h 20m 18.79s,−30° 03′ 48.2′′,3.02,−2.05,336,B2.5V,Furud; spectroscopic binary ; suspected variable
Canis Major,Omicron2 Canis Majoris,ο2,24,,53138,33977,07h 03m 01.47s,−23° 49′ 59.9′′,3.02,−6.46,2567,B3Ia,"Thanih al Adzari, Secunda Virginum,[1] part of Al ʽAdhārā or Al Adzari;[2][3] α Cyg variable"
Canis Major,Sigma Canis Majoris,σ,22,,52877,33856,07h 01m 43.15s,−27° 56′ 05.4′′,3.49,−4.37,1216,K4III,"Unurgunite, irregular variable , *V* max = 3.43m, *V* min = 3.51m"
Canis Major,Kappa Canis Majoris,κ,13,,50013,32759,06h 49m 50.47s,−32° 30′ 30.6′′,3.50,−3.42,789,B1.5IVne,"γ Cas variable , *V* max = 3.40m, *V* min = 3.97m"
Canis Major,Omicron1 Canis Majoris,ο1,16,,50877,33152,06h 54m 07.95s,−24° 11′ 03.2′′,3.89,−5.02,1976,K3Iab,"irregular variable, *V* max = 3.78m, *V* min = 3.99m"
Canis Major,Nu2 Canis Majoris,ν2,7,,47205,31592,06h 36m 41.00s,−19° 15′ 20.6′′,3.95,2.46,65,K1III+...,"Yějī (野雞),4] has a [planet (b ); suspected variable, *V* max = 3.87m, *V* min = 3.96m"
Canis Major,Omega Canis Majoris,ω,28,,56139,35037,07h 14m 48.66s,−26° 46′ 21.7′′,4.01,−3.25,924,B2IV/Ve,"γ Cas variable, *V* max = 3.54m, *V* min = 4.18m"
Canis Major,Theta Canis Majoris,θ,14,,50778,33160,06h 54m 11.48s,−12° 02′ 18.9′′,4.08,−0.36,252,K4III,
Canis Major,Gamma Canis Majoris,γ,23,,53244,34045,07h 03m 45.49s,−15° 37′ 59.7′′,4.12,−1.34,402,B8II,Muliphein; suspected variable
Canis Major,Xi1 Canis Majoris,ξ1,4,,46328,31125,06h 31m 51.37s,−23° 25′ 06.4′′,4.34,−4.65,2050,B1III,"β Cep variable, *V* max = 4.33m, *V* min = 4.36m, *P* = 0.2095755 d"
Canis Major,Iota Canis Majoris,ι,20,,51309,33347,06h 56m 08.23s,−17° 03′ 15.3′′,4.36,−5.51,3075,B3Ib/II,"β Cep variable, *V* max = 4.36m, *V* min = 4.4m, *P* = 0.08 d"
Canis Major,Tau Canis Majoris,τ,30,,57061,35415,07h 18m 42.49s,−24° 57′ 15.8′′,4.37,−5.59,3196,O9Ib,member of the NGC 2362 star cluster ; β Lyr variable
Canis Major,Nu3 Canis Majoris,ν3,8,,47442,31700,06h 37m 53.43s,−18° 14′ 14.8′′,4.42,−1.35,464,K0II/III,
Canis Major,27 Canis Majoris,,27,EW,56014,34981,07h 14m 15.22s,−26° 21′ 09.1′′,4.42,−4.00,1575,B3IIIe,"binary, component A spectroscopic binary, component B γ Cas variable, *V* max = 4.42m, *V* min = 4.82m"
Canis Major,Lambda Canis Majoris,λ,,,45813,30788,06h 28m 10.22s,−32° 34′ 48.5′′,4.47,−1.01,406,B4V,
Canis Major,Xi2 Canis Majoris,ξ2,5,,46933,31416,06h 35m 03.38s,−22° 57′ 53.4′′,4.54,−0.97,412,A0III,
Canis Major,Pi Canis Majoris,π,19,,51199,33302,06h 55m 37.40s,−20° 08′ 11.7′′,4.66,2.33,95,F2IV/V,"variable star, Δ*V* = 0.002m, *P* = 0.09013 d"
Canis Major,HD 56618,,,,56618,35205,07h 16m 35.00s,−27° 52′ 52.6′′,4.66,−1.05,453,M2III,suspected variable
Canis Major,HD 47667,,,,47667,31827,06h 39m 16.72s,−14° 08′ 44.7′′,4.82,−3.60,1575,K2III,
Canis Major,15 Canis Majoris,,15,EY,50707,33092,06h 53m 32.91s,−20° 13′ 27.3′′,4.82,−3.65,1614,B1IV,"β Cep variable, *V* max = 4.79m, *V* min = 4.84m, *P* = 0.184557 d"
Canis Major,145 G. Canis Majoris,,,,56577,35210,07h 16m 36.84s,−23° 18′ 56.2′′,4.83,−6.59,6269,K4III,"Double star ; suspected variable, *V* max = 4.78m, *V* min = 4.86m"
Canis Major,UW Canis Majoris,,29,UW,57060,35412,07h 18m 40.38s,−24° 33′ 31.3′′,4.88,−4.93,2991,O7Ia:fp,"β Lyr variable, *V* max = 4.84m, *V* min = 5.33m, *P* = 4.393407 d"
Canis Major,HD 57821,,,,57821,35727,07h 22m 13.53s,−19° 00′ 59.7′′,4.94,−1.06,517,B5II/III,
Canis Major,HD 43445,,,,43445,29735,06h 15m 44.88s,−13° 43′ 06.2′′,5.00,−0.30,375,B9V,
Canis Major,Mu Canis Majoris,μ,18,,51250,33345,06h 56m 06.65s,−14° 02′ 36.4′′,5.00,−2.22,908,B9.5V,Isis
Canis Major,HD 43827,,,,43827,29895,06h 17m 41.73s,−16° 48′ 57.3′′,5.15,−1.05,567,K1III,
Canis Major,HD 46184,,,,46184,31084,06h 31m 23.02s,−12° 23′ 30.9′′,5.16,0.05,343,K1III,
Canis Major,HD 58343,,,FW,58343,35951,07h 24m 40.19s,−16° 12′ 05.1′′,5.18,−2.13,945,B2Vne,"γ Cas variable, *V* max = 5.m, *V* min = 5.5m"
Canis Major,HD 44951,,,,44951,30457,06h 24m 10.35s,−11° 31′ 48.0′′,5.21,−0.34,420,K3III,
Canis Major,10 Canis Majoris,,10,FT,48917,32292,06h 44m 28.47s,−31° 04′ 13.9′′,5.23,−4.29,2608,B2V,"γ Cas variable, *V* max = 5.13m, *V* min = 5.44m"
Canis Major,HD 47536,,,,47536,31688,06h 37m 47.54s,−32° 20′ 23.6′′,5.25,−0.17,396,K1III,has two planets (b & c )
Canis Major,11 Canis Majoris,,11,,49229,32492,06h 46m 51.09s,−14° 25′ 33.6′′,5.28,−1.19,642,B8/B9III,
Canis Major,HD 51283,,,,51283,33316,06h 55m 46.93s,−22° 56′ 29.2′′,5.28,−3.82,2159,B2/B3III,suspected variable
Canis Major,HD 57146,,,,57146,35427,07h 18m 51.28s,−26° 35′ 09.1′′,5.29,−2.80,1353,G2II,suspected variable
Canis Major,HD 49048,,,,49048,32411,06h 45m 59.40s,−14° 47′ 45.9′′,5.30,−0.13,398,A1IV/V,
Canis Major,HD 58535,,,,58535,35957,07h 24m 43.87s,−31° 48′ 32.1′′,5.35,−0.79,552,K1III,"suspected variable, *V* max = 5.31m, *V* min = 5.43m"
Canis Major,HD 56342,,,,56342,35083,07h 15m 21.08s,−30° 41′ 11.3′′,5.36,−1.12,646,B2V,"suspected variable, Δ*V* = 0.006m"
Canis Major,HD 58215,,,,58215,35848,07h 23m 28.97s,−27° 50′ 03.4′′,5.37,−0.76,549,K4III,"variable star, Δ*V* = 0.008m, *P* = 20.67397 d"
Canis Major,HD 49662,,,,49662,32677,06h 48m 57.74s,−15° 08′ 41.0′′,5.39,−0.96,607,B7IV,"variable star, Δ*V* = 0.010m, *P* = 1.43019 d"
Canis Major,NO CMa,,,NO,58155,35795,07h 23m 00.70s,−31° 55′ 25.6′′,5.40,−2.81,1430,B3V,Be star
Canis Major,FN Canis Majoris,,,FN,53974,34301,07h 06m 40.77s,−11° 17′ 38.5′′,5.41,−4.29,2835,B0.5IV,"β Cep variable, *V* max = 5.38m, *V* min = 5.42m, *P* = 0.08866 d"
Canis Major,HD 58286,,,,58286,35855,07h 23m 31.90s,−32° 12′ 07.5′′,5.41,−2.34,1156,B2/B3II/III,
Canis Major,HD 51733,,,,51733,33478,06h 57m 33.97s,−24° 37′ 51.8′′,5.45,2.52,126,F3V,
Canis Major,HD 55070,,,,55070,34624,07h 10m 19.33s,−27° 29′ 29.5′′,5.46,−1.01,643,G8III,
Canis Major,HD 56405,,,,56405,35180,07h 16m 14.58s,−15° 35′ 08.4′′,5.46,0.82,277,A1V,suspected variable
Canis Major,FR CMa,,,FR,44458,30214,06h 21m 24.72s,−11° 46′ 23.7′′,5.48,−3.07,1672,B1Vpe SB,"γ Cas variable, *V* max = 5.46m, *V* min = 5.64m"
Canis Major,HD 43955,,,,43955,29941,06h 18m 13.73s,−19° 58′ 01.2′′,5.51,−1.91,994,B2/B3V,
Canis Major,HD 56160,,,,56160,35044,07h 14m 51.19s,−27° 02′ 16.5′′,5.58,0.97,273,K3III,"variable star, Δ*V* = 0.006m, *P* = 4.45653 d"
Canis Major,HD 52018,,,,52018,33575,06h 58m 35.90s,−25° 24′ 51.0′′,5.59,−1.93,1042,B2V,
Canis Major,HD 57478,,,,57478,35615,07h 20m 58.29s,−14° 21′ 37.8′′,5.59,−0.57,556,G8/K0III,
Canis Major,NR Canis Majoris,,,NR,58954,36186,07h 27m 07.99s,−17° 51′ 53.5′′,5.60,0.93,280,F2V,δ Sct variable
Canis Major,HD 45018,,,,45018,30436,06h 23m 55.91s,−25° 34′ 39.1′′,5.61,−1.04,697,K5III,suspected variable
Canis Major,HD 46936,,,,46936,31362,06h 34m 35.33s,−32° 42′ 58.5′′,5.62,−0.25,487,B9V,
Canis Major,HR 2501,,,HP,49131,32385,06h 45m 31.19s,−30° 56′ 56.4′′,5.62,−2.81,1583,B+...,"γ Cas and λ Eri variable , *V* max = 5.33m, *V* min = 5.81m, *P* = 0.79187 d"
Canis Major,LS Canis Majoris,,,LS,52670,33804,07h 01m 05.95s,−25° 12′ 56.3′′,5.64,−1.85,1028,B2/B3III/IV,eclipsing binary
Canis Major,HD 50644,,,,50644,33077,06h 53m 18.84s,−19° 01′ 58.0′′,5.65,0.63,329,A9/F0III,
Canis Major,FY Canis Majoris,,,FY,58978,36168,07h 26m 59.49s,−23° 05′ 09.7′′,5.65,−2.54,1417,B1II,"γ Cas variable, *V* max = 4.8m, *V* min = 6.25m"
Canis Major,LZ CMa,,,LZ,54912,34579,07h 09m 43.03s,−25° 13′ 51.8′′,5.69,−3.06,1831,B2V,"β Lyr variable, Δ*V* = 0.03m"
Canis Major,HD 47946,,,,47946,31870,06h 39m 42.67s,−30° 28′ 12.1′′,5.70,1.36,241,K1III,
Canis Major,R Canis Majoris,,,R,57167,35487,07h 19m 28.08s,−16° 23′ 41.7′′,5.70,2.48,144,F2III/IV,"Algol variable , *V* max = 5.7m, *V* min = 6.34m, *P* = 1.1359405 d"
Canis Major,Nu1 Canis Majoris,ν1,6,,47138,31564,06h 36m 22.86s,−18° 39′ 35.8′′,5.71,1.07,277,G8III/F3V...,
Canis Major,HD 46547,,,,46547,31190,06h 32m 38.98s,−32° 01′ 49.6′′,5.73,−1.32,838,B2V,"suspected variable, Δ*V* = 5.64m, *P* = 5.72 d"
Canis Major,IY CMa,,,IY,45871,30840,06h 28m 39.24s,−32° 22′ 16.7′′,5.74,−1.27,823,B5IV,Be star; eclipsing binary
Canis Major,HD 50123,,,HZ,50123,32810,06h 50m 23.35s,−31° 42′ 21.9′′,5.74,−0.97,718,B3V,"rotating ellipsoidal variable , *V* max = 5.71m, *V* min = 5.79m"
Canis Major,FV CMa,,,FV,54309,34360,07h 07m 22.59s,−23° 50′ 26.6′′,5.75,−4.04,2964,B2V:nn,"γ Cas variable, *V* max = 5.64m, *V* min = 5.94m"
Canis Major,HD 45765,,,,45765,30836,06h 28m 37.41s,−17° 27′ 57.7′′,5.76,0.19,424,K0III,
Canis Major,HD 49980,,,,49980,32809,06h 50m 21.77s,−17° 05′ 04.4′′,5.77,−2.62,1552,K3III,
Canis Major,HD 55589,,,,55589,34888,07h 13m 07.20s,−11° 15′ 04.9′′,5.77,−0.77,661,K0,
Canis Major,HD 44081,,,,44081,30011,06h 18m 58.98s,−20° 55′ 32.2′′,5.79,−2.97,1842,B3II/III,suspected β Cep variable
Canis Major,HD 58461,,,,58461,35998,07h 25m 08.44s,−13° 45′ 07.1′′,5.79,3.08,114,F3V,
Canis Major,HD 58612,,,,58612,36024,07h 25m 25.27s,−25° 13′ 04.0′′,5.79,−4.19,3228,B5III,
Canis Major,HD 59067,,,,59067,36251,07h 27m 51.66s,−11° 33′ 24.7′′,5.79,−1.66,1009,B8Vv comp VB,"γ Cas variable, *V* max = 5.73m, *V* min = 5.90m"
Canis Major,17 Canis Majoris,,17,,51055,33248,06h 55m 02.74s,−20° 24′ 17.5′′,5.80,−0.54,605,A2V,
Canis Major,HD 55344,,,,55344,34758,07h 11m 41.61s,−20° 52′ 59.2′′,5.84,−0.04,489,A0IV/V,
Canis Major,MZ CMa,,,MZ,57615,35626,07h 21m 04.34s,−25° 53′ 30.0′′,5.87,−0.86,723,M3III,semiregular variable
Canis Major,HD 43396,,,,43396,29679,06h 15m 08.40s,−20° 16′ 20.1′′,5.88,−1.39,929,K2III,"variable star, Δ*V* = 0.008m, *P* = 2.42919 d"
Canis Major,26 Canis Majoris,,26,MM,55522,34798,07h 12m 12.22s,−25° 56′ 33.4′′,5.91,−0.80,718,B2IV/V,53 Per variable
Canis Major,HD 46189,,,,46189,31037,06h 30m 46.29s,−27° 46′ 10.5′′,5.92,−1.78,1128,B3IV/V,"variable star, Δ*V* = 0.005m, *P* = 3.28106 d"
Canis Major,HD 49095,,,,49095,32366,06h 45m 23.08s,−31° 47′ 34.5′′,5.92,3.99,79,F7V,
Canis Major,HD 47182,,,,47182,31599,06h 36m 46.60s,−13° 19′ 15.5′′,5.95,−0.91,769,K4/K5III,
Canis Major,HD 55762,,,,55762,34914,07h 13m 24.01s,−22° 40′ 26.9′′,5.96,−0.90,780,K4III,"suspected variable, Δ*V* = 0.14m"
Canis Major,HD 43544,,,,43544,29771,06h 16m 07.70s,−16° 37′ 04.8′′,5.97,−1.07,836,B2/B3V,"suspected variable, *V* max = 5.71m, *V* min = 5.97m"
Canis Major,HD 43429,,,,43429,29692,06h 15m 17.71s,−18° 28′ 37.2′′,5.99,1.96,208,K1III,
Canis Major,OS CMa,,,OS,54764,34561,07h 09m 33.37s,−16° 14′ 04.2′′,6.00,,,B1Ib/II,α Cyg variable
Canis Major,HR 2800,,,HQ,57593,35611,07h 20m 54.92s,−26° 57′ 49.9′′,6.00,−2.71,1801,B3V,"Algol variable, *V* max = 5.99m, *V* min = 6.25m, *P* = 24.6033 d"
Canis Major,HD 47561,,,,47561,31758,06h 38m 35.43s,−16° 52′ 24.6′′,6.01,0.26,460,A0IV,
Canis Major,HD 56578,,,,56578,35213,07h 16m 38.38s,−23° 18′ 39.8′′,6.02,1.53,258,A5m...,
Canis Major,HD 44021,,,,44021,29993,06h 18m 48.79s,−15° 01′ 30.0′′,6.04,−0.73,738,M1III:,"suspected variable, *V* max = 5.96m, *V* min = 6.06m"
Canis Major,HD 49001,,,,49001,32368,06h 45m 23.38s,−23° 27′ 45.0′′,6.04,0.15,492,K2III,
Canis Major,HD 58585,,,,58585,36017,07h 25m 19.98s,−21° 58′ 57.4′′,6.04,−3.90,3165,A6II,
Canis Major,HD 43745,,,,43745,29843,06h 17m 03.52s,−22° 42′ 52.6′′,6.05,3.04,130,F8/G0V,
