Monthly Income (INR),Cost of Living Expenditure (INR),Other Important Investments (INR),Consumerist Expenditure (INR),Crisis Shock Expenditure (INR),Total Monthly Expenditure (INR),Debt Status,Financial State Category,Current Monthly Income Enough for Next Few Months,Current Expenditure Worth It,Suggested Budget - Cost of Living,Suggested Budget - Other Important Investments,Suggested Budget - Consumerist Expenditure,Suggested Budget - Crisis Shocks
327200,95126,29433,23731,42384,190674,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.29,0.12,0.08,0.12
26797,7242,1747,2521,1273,12783,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.27,0.07,0.09,0.05
358243,103519,30572,49468,3654,187213,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.29,0.12,0.14,0.05
123807,85394,8231,25412,28430,147467,In Debt,Deficit Living,No,No,0.53,0.09,0.13,0.1
442426,112785,21760,29342,86849,250736,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.12,0.08,0.12
419937,209803,25983,56447,66124,358357,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.12,0.08,0.12
209968,40931,10363,24844,12250,88388,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.19,0.1,0.12,0.06
495871,132481,46201,80439,27715,286836,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.27,0.12,0.16,0.06
288663,123692,49591,59113,56267,288663,Not in Debt,Zero-Balance Living,No,No,0.43,0.15,0.13,0.11
72864,43452,6952,8809,16688,75901,In Debt,Deficit Living,No,No,0.58,0.1,0.09,0.08
27460,11063,3850,4144,6257,25314,In Debt,Low-Rate Saver (<25% in savings),No,No,0.4,0.09,0.12,0.07
366785,98659,12143,50428,41044,202274,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.27,0.12,0.14,0.11
227310,109698,23430,41948,41352,216428,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.48,0.1,0.08,0.09
284325,103863,27186,22518,27754,181321,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.37,0.1,0.08,0.1
40080,12058,1853,3841,5952,23704,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.3,0.07,0.1,0.08
315127,138036,23701,29923,71331,262991,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.12,0.08,0.12
432972,123184,25491,37847,96707,283229,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.28,0.12,0.09,0.12
382672,253181,59344,124807,54149,491481,In Debt,Deficit Living,No,No,0.43,0.16,0.09,0.12
176318,137557,22947,32477,47886,240867,In Debt,Deficit Living,No,No,0.48,0.13,0.1,0.11
199900,149803,30447,37720,35646,253616,In Debt,Deficit Living,No,No,0.48,0.15,0.08,0.11
366812,159229,23885,88081,78293,349488,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.43,0.12,0.08,0.12
168830,79385,22780,25432,33838,161435,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.47,0.13,0.08,0.07
302074,147680,34098,53302,66994,302074,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
365076,235026,82099,128065,59738,504928,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
436097,264035,76900,81410,175660,598005,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
258044,93074,17063,43750,14190,168077,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.36,0.1,0.17,0.05
158450,65997,13191,34890,44372,158450,In Debt,Zero-Balance Living,No,No,0.42,0.1,0.17,0.11
253326,114735,16530,58661,18722,208648,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.45,0.1,0.13,0.07
250051,75614,28576,35386,28734,168310,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.3,0.11,0.14,0.11
21389,11243,3752,2879,2426,20300,Not in Debt,Low-Rate Saver (<25% in savings),No,Yes,0.53,0.09,0.08,0.05
236687,126615,38534,27898,28123,221170,Not in Debt,Low-Rate Saver (<25% in savings),No,Yes,0.48,0.14,0.08,0.05
73318,37463,12060,20936,12774,83233,In Debt,Deficit Living,No,No,0.51,0.12,0.13,0.08
407646,219488,40699,50660,147683,458530,In Debt,Deficit Living,No,No,0.43,0.12,0.12,0.12
223736,101807,15526,25583,29960,172876,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.46,0.1,0.08,0.11
42394,22224,7815,10739,1616,42394,Not in Debt,Zero-Balance Living,No,No,0.52,0.12,0.13,0.05
386864,170310,46338,70238,57412,344298,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.12,0.08,0.12
260401,114530,14530,48945,44685,222690,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.44,0.1,0.1,0.11
132001,31792,8113,11796,14131,65832,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.24,0.09,0.09,0.1
433459,237514,102055,113281,70648,523498,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
396537,161282,44148,66319,33705,305454,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.41,0.12,0.14,0.08
465614,271980,39960,132957,20717,465614,In Debt,Zero-Balance Living,No,No,0.43,0.12,0.18,0.05
392542,147782,37713,33989,34120,253604,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.38,0.12,0.09,0.09
282760,69484,14696,28349,34202,146731,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.1,0.1,0.11
121239,60770,7481,19675,33313,121239,Not in Debt,Zero-Balance Living,No,No,0.5,0.09,0.13,0.1
81365,20289,3612,4236,13865,42002,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.09,0.08,0.1
342986,230870,25775,119386,49893,425924,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
317084,176287,37049,86462,17286,317084,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.18,0.05
61087,49954,4332,12199,17952,84437,In Debt,Deficit Living,No,No,0.58,0.07,0.12,0.08
492847,108968,21152,64414,66484,261018,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.22,0.12,0.13,0.12
199268,76968,29661,33516,22453,162598,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.39,0.15,0.1,0.11
63979,21200,7091,6257,2795,37343,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.33,0.11,0.1,0.05
425048,246820,36821,120812,20595,425048,In Debt,Zero-Balance Living,No,No,0.43,0.12,0.18,0.05
334458,171085,41717,89399,11322,313523,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.43,0.12,0.15,0.05
472448,183523,25579,99628,120443,429173,In Debt,Low-Rate Saver (<25% in savings),No,No,0.39,0.12,0.12,0.12
107289,28160,8142,9694,2498,48494,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.26,0.09,0.09,0.05
43451,25263,3723,11013,9834,49833,In Debt,Deficit Living,No,No,0.58,0.09,0.1,0.08
283063,227497,28380,52551,83969,392397,In Debt,Deficit Living,No,No,0.48,0.1,0.13,0.11
65523,46612,15091,19989,6181,87873,In Debt,Deficit Living,No,No,0.58,0.12,0.08,0.07
379941,210518,27298,73181,68944,379941,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
253947,105339,11826,36444,44890,198499,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.41,0.1,0.13,0.11
61795,27982,9564,7809,11884,57239,Not in Debt,Low-Rate Saver (<25% in savings),No,Yes,0.45,0.12,0.1,0.08
195002,85750,23512,37701,27712,174675,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.44,0.12,0.08,0.11
71513,47692,9589,21488,2673,81442,In Debt,Deficit Living,No,No,0.58,0.12,0.1,0.05
425733,188982,33576,42985,71657,337200,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.12,0.08,0.12
350771,104313,28314,45328,16310,194265,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.3,0.12,0.13,0.05
96403,23688,8073,13554,718,46033,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.09,0.14,0.05
402596,191202,29683,106945,74766,402596,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
464190,184305,60260,76766,99554,420885,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.4,0.13,0.1,0.12
205446,104242,32609,41758,15946,194555,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.48,0.14,0.08,0.05
22957,9173,3820,3616,3770,20379,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.4,0.09,0.12,0.07
143537,85932,17421,21022,57270,181645,In Debt,Deficit Living,No,No,0.53,0.12,0.1,0.1
423931,266785,46041,134619,17202,464647,In Debt,Deficit Living,No,No,0.43,0.12,0.18,0.05
190083,93650,13131,42579,19602,168962,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.48,0.1,0.08,0.09
45487,26237,7359,4555,7336,45487,Not in Debt,Zero-Balance Living,No,Yes,0.58,0.11,0.08,0.05
281673,201006,52141,46717,50559,350423,In Debt,Deficit Living,No,Yes,0.48,0.15,0.08,0.11
79785,45543,14777,22205,0,79785,In Debt,Zero-Balance Living,No,No,0.53,0.14,0.1,0.05
347568,182052,38454,47107,79955,347568,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
94807,41005,5055,25131,23616,94807,In Debt,Zero-Balance Living,No,No,0.43,0.09,0.15,0.1
400898,239106,61132,100417,243,400898,Not in Debt,Zero-Balance Living,No,No,0.43,0.15,0.17,0.05
454858,231225,77919,130526,15188,454858,Not in Debt,Zero-Balance Living,No,No,0.43,0.17,0.15,0.05
255866,122038,46324,33137,42798,244297,Not in Debt,Low-Rate Saver (<25% in savings),No,Yes,0.48,0.14,0.08,0.05
376942,162599,35209,64761,37725,300294,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.12,0.1,0.1
84997,20972,8271,8711,4041,41995,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.1,0.1,0.05
153916,77303,9074,14113,37986,138476,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.48,0.1,0.08,0.09
268475,158655,41337,70247,0,268475,In Debt,Zero-Balance Living,No,No,0.48,0.15,0.14,0.05
371970,82143,36995,54291,24126,197555,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.22,0.12,0.15,0.06
135195,30826,7758,15553,158,54295,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.23,0.09,0.12,0.05
49226,10421,1363,4685,5961,22430,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.21,0.07,0.1,0.08
496677,233983,79009,105276,65024,483292,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.43,0.16,0.08,0.08
271205,129672,22641,37853,81039,271205,Not in Debt,Zero-Balance Living,No,No,0.48,0.1,0.13,0.11
378213,179392,73323,129831,53648,436194,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
89891,49343,17863,15534,7151,89891,Not in Debt,Zero-Balance Living,No,Yes,0.53,0.14,0.08,0.07
18545,8335,1929,3723,2424,16411,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.45,0.09,0.12,0.07
422655,174866,76390,82028,54015,387299,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.41,0.17,0.08,0.09
368074,177155,55087,71798,64034,368074,Not in Debt,Zero-Balance Living,No,No,0.43,0.15,0.1,0.12
100204,26102,3578,14796,5955,50431,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.26,0.09,0.15,0.06
245612,129337,25937,55680,34658,245612,Not in Debt,Zero-Balance Living,No,No,0.48,0.11,0.12,0.11
358788,146639,54560,37038,41256,279493,In Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.41,0.15,0.08,0.11
331067,157464,31373,77363,64867,331067,In Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
434954,183596,86406,66915,98037,434954,In Debt,Zero-Balance Living,No,Yes,0.42,0.17,0.09,0.12
39453,10493,1705,5072,1679,18949,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.27,0.07,0.13,0.05
151320,66927,24419,18022,14759,124127,In Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.44,0.15,0.08,0.08
396227,230759,27433,48401,89634,396227,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.12,0.12
234881,111799,40962,34918,47202,234881,Not in Debt,Zero-Balance Living,No,Yes,0.48,0.15,0.08,0.11
290690,146305,61134,51982,50069,309490,In Debt,Deficit Living,No,Yes,0.48,0.15,0.08,0.11
136183,57378,24532,25527,28746,136183,In Debt,Zero-Balance Living,No,No,0.42,0.14,0.15,0.1
478086,211932,22233,103623,90380,428168,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.12,0.08,0.12
14248,7394,2073,1698,1555,12720,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.52,0.09,0.08,0.06
459924,105498,20224,48231,17767,191720,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.23,0.12,0.1,0.05
465859,94467,14022,31739,50931,191159,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.2,0.12,0.08,0.11
315788,103627,24963,42260,78740,249590,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.33,0.12,0.13,0.12
496660,245594,50112,131953,52993,480652,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.43,0.12,0.09,0.11
63449,31270,5720,7560,18899,63449,In Debt,Zero-Balance Living,No,No,0.49,0.09,0.12,0.08
130570,78205,20593,24506,37195,160499,In Debt,Deficit Living,No,No,0.53,0.14,0.08,0.1
175294,47255,5921,29003,24819,106998,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.27,0.1,0.17,0.11
396131,309224,79175,130878,0,518104,In Debt,Deficit Living,No,No,0.43,0.17,0.15,0.05
344016,107567,36728,57876,0,198761,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.31,0.12,0.17,0.05
265688,130933,25497,44550,52954,253934,In Debt,Low-Rate Saver (<25% in savings),No,No,0.48,0.1,0.08,0.09
92595,63052,15659,26310,5962,110983,In Debt,Deficit Living,No,No,0.53,0.14,0.12,0.06
455811,97321,22353,38937,80717,239328,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.21,0.12,0.09,0.12
419965,218385,31101,107057,51505,408048,In Debt,Low-Rate Saver (<25% in savings),No,No,0.43,0.12,0.08,0.12
419411,118854,17493,48936,19041,204324,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.28,0.12,0.12,0.05
138111,60564,20959,12603,24563,118689,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.44,0.14,0.08,0.09
108208,56062,19264,19314,2343,96983,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.52,0.1,0.08,0.05
493906,233119,80384,60503,56128,430134,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.43,0.16,0.08,0.08
379416,83540,22130,35900,12052,153622,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.22,0.12,0.09,0.05
47809,17144,5901,10117,4406,37568,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.36,0.12,0.13,0.08
395247,215494,73817,92376,13560,395247,Not in Debt,Zero-Balance Living,No,No,0.43,0.17,0.15,0.05
320323,101875,17848,52674,12821,185218,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.32,0.12,0.16,0.05
109002,43283,11788,12471,38401,105943,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.4,0.11,0.11,0.1
296929,96895,10785,23981,53315,184976,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.33,0.1,0.08,0.11
115334,35089,11682,6579,10261,63611,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.3,0.1,0.08,0.09
277731,180697,66349,93619,8375,349040,In Debt,Deficit Living,No,No,0.48,0.15,0.14,0.05
414116,101888,20730,57455,63101,243174,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.12,0.14,0.12
92852,43198,17113,15178,14344,89833,Not in Debt,Low-Rate Saver (<25% in savings),No,Yes,0.47,0.14,0.08,0.06
40827,23506,8799,14933,6465,53703,In Debt,Deficit Living,No,No,0.58,0.12,0.08,0.07
445345,108599,25993,28292,40968,203852,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.24,0.12,0.08,0.09
246585,114422,40624,67242,24297,246585,In Debt,Zero-Balance Living,No,No,0.46,0.15,0.11,0.1
205353,75464,18160,20694,13282,127600,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.37,0.1,0.1,0.06
351805,122051,34283,34650,15501,206485,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.35,0.12,0.1,0.05
331240,100525,38034,20088,37323,195970,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.3,0.12,0.08,0.11
62434,32195,10473,13838,5928,62434,Not in Debt,Zero-Balance Living,No,No,0.52,0.12,0.1,0.08
236920,91190,11111,43378,36998,182677,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.38,0.1,0.16,0.11
160530,48852,12601,16979,17251,95683,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.3,0.1,0.11,0.11
481293,239674,86728,97128,132042,555572,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
325005,182735,34884,60627,92473,370719,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
413487,135750,55331,72556,20611,284248,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.33,0.13,0.18,0.05
346342,123855,25448,54016,18412,221731,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.36,0.12,0.16,0.05
239181,120618,14666,73541,46946,255771,In Debt,Deficit Living,No,No,0.48,0.1,0.13,0.11
420375,155709,45367,77720,0,272737,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.37,0.12,0.18,0.05
453516,180159,35557,84161,13415,313292,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.4,0.12,0.15,0.05
318229,204666,54694,62160,26612,348132,In Debt,Deficit Living,No,No,0.43,0.17,0.12,0.08
411835,235592,41117,106736,28390,411835,In Debt,Zero-Balance Living,No,No,0.43,0.12,0.18,0.07
55461,16248,3355,7616,4669,31888,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.29,0.07,0.13,0.08
391663,239854,50284,70201,41120,401459,In Debt,Deficit Living,No,No,0.43,0.13,0.14,0.1
384785,244423,24733,77420,89738,436314,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
317700,83915,22200,32322,53581,192018,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.26,0.12,0.1,0.12
188778,56557,6866,30069,36095,129587,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.3,0.1,0.16,0.11
282565,125037,19435,81333,56760,282565,Not in Debt,Zero-Balance Living,No,No,0.44,0.1,0.17,0.11
416729,144797,14706,37979,92097,289579,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.35,0.12,0.09,0.12
330846,133366,58161,52003,87316,330846,In Debt,Zero-Balance Living,No,Yes,0.4,0.17,0.11,0.12
239857,54309,7636,34837,27272,124054,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.23,0.1,0.15,0.11
305723,114741,20805,75811,74807,286164,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.38,0.12,0.13,0.12
43646,18341,5319,5785,7251,36696,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.42,0.12,0.13,0.08
250591,153520,38488,68970,47269,308247,In Debt,Deficit Living,No,No,0.48,0.15,0.08,0.11
435989,250943,53444,90951,110545,505883,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
400059,133627,29000,45791,38034,246452,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.33,0.12,0.11,0.1
321129,122334,23683,44632,90956,281605,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.38,0.12,0.13,0.12
385366,156884,61238,65719,101525,385366,Not in Debt,Zero-Balance Living,No,No,0.41,0.16,0.11,0.12
116261,49543,12828,25984,27906,116261,In Debt,Zero-Balance Living,No,No,0.43,0.11,0.15,0.1
56290,30442,4262,6437,15149,56290,Not in Debt,Zero-Balance Living,No,No,0.54,0.08,0.11,0.08
141067,62175,16825,38528,23539,141067,Not in Debt,Zero-Balance Living,No,No,0.44,0.12,0.15,0.1
353269,186079,35768,88085,125724,435656,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
190311,70929,28829,29533,26360,155651,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.37,0.15,0.12,0.11
82548,16734,3261,4067,13772,37834,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.2,0.09,0.08,0.1
253512,128333,35457,59803,29919,253512,In Debt,Zero-Balance Living,No,No,0.48,0.14,0.09,0.11
225842,121658,43807,44039,16338,225842,In Debt,Zero-Balance Living,No,No,0.48,0.15,0.12,0.07
76873,52312,18532,22437,6840,100121,In Debt,Deficit Living,No,No,0.53,0.14,0.09,0.09
462440,254542,80538,135425,9487,479992,In Debt,Deficit Living,No,No,0.43,0.17,0.15,0.05
21291,9810,1925,4419,2608,18762,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.46,0.09,0.12,0.07
373224,201333,53468,63750,146401,464952,In Debt,Deficit Living,No,No,0.43,0.14,0.11,0.12
366953,218898,24828,65353,57874,366953,In Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
206214,113842,35353,31378,25641,206214,Not in Debt,Zero-Balance Living,No,Yes,0.48,0.15,0.08,0.11
458912,315469,31344,62858,191217,600888,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
241984,100202,36924,33372,71486,241984,Not in Debt,Zero-Balance Living,No,Yes,0.41,0.15,0.14,0.11
482095,189808,25652,129267,98450,443177,In Debt,Low-Rate Saver (<25% in savings),No,No,0.39,0.12,0.12,0.12
259731,54544,11935,11153,28834,106466,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.21,0.1,0.08,0.11
157480,75768,23698,29136,28878,157480,Not in Debt,Zero-Balance Living,No,No,0.48,0.15,0.08,0.11
409300,172914,24115,44561,70942,312532,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.42,0.12,0.09,0.12
181719,76141,34647,43730,27201,181719,In Debt,Zero-Balance Living,No,No,0.42,0.15,0.14,0.11
366680,172525,52933,62875,52920,341253,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.43,0.14,0.08,0.1
94839,41798,11281,10221,9261,72561,In Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.44,0.12,0.09,0.1
446145,126073,14982,46896,31406,219357,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.28,0.12,0.11,0.07
471450,145866,12993,65932,30993,255784,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.31,0.12,0.14,0.07
91806,46991,17004,10455,17356,91806,In Debt,Zero-Balance Living,No,Yes,0.51,0.14,0.08,0.09
51924,26548,3555,8300,7392,45795,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.51,0.07,0.09,0.08
299038,112469,45145,37054,45370,240038,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.38,0.15,0.11,0.11
415696,207341,58494,64426,16402,346663,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.14,0.13,0.05
57294,27475,5665,6827,11653,51620,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.48,0.1,0.09,0.08
304704,121164,14912,68893,40033,245002,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.4,0.12,0.11,0.12
83320,40113,10066,8797,10327,69303,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.48,0.12,0.08,0.07
290919,90423,9438,25221,35011,160093,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.31,0.1,0.09,0.11
141431,29406,5921,13795,9729,58851,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.21,0.09,0.1,0.07
184189,78369,25679,41222,4237,149507,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.14,0.13,0.05
341448,211051,61541,88108,106812,467512,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
173131,97488,11739,51897,12007,173131,In Debt,Zero-Balance Living,No,No,0.48,0.1,0.17,0.07
451290,103237,15917,48373,83146,250673,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.23,0.12,0.11,0.12
79729,41062,5448,19569,13650,79729,Not in Debt,Zero-Balance Living,No,No,0.52,0.09,0.11,0.1
313029,205615,55212,73693,9595,344115,In Debt,Deficit Living,No,No,0.43,0.17,0.15,0.05
161020,69042,18706,28759,44513,161020,In Debt,Zero-Balance Living,No,No,0.43,0.12,0.16,0.11
245331,121040,44485,34620,45186,245331,In Debt,Zero-Balance Living,No,Yes,0.48,0.15,0.08,0.11
174784,103353,10173,42793,18465,174784,Not in Debt,Zero-Balance Living,No,No,0.48,0.1,0.13,0.11
495229,282456,92953,50112,69708,495229,In Debt,Zero-Balance Living,No,Yes,0.43,0.17,0.08,0.12
379729,107827,34416,41568,55333,239144,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.28,0.12,0.11,0.12
482668,198383,45861,106107,132317,482668,Not in Debt,Zero-Balance Living,No,No,0.41,0.12,0.15,0.12
456467,258562,68900,122002,7003,456467,Not in Debt,Zero-Balance Living,No,No,0.43,0.15,0.17,0.05
386091,176821,25219,110678,73373,386091,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
322626,259614,42353,43515,87579,433061,In Debt,Deficit Living,No,No,0.43,0.13,0.12,0.12
37998,15124,3842,10657,6235,35858,In Debt,Low-Rate Saver (<25% in savings),No,No,0.4,0.1,0.13,0.08
480335,97227,39991,31955,36258,205431,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.2,0.12,0.08,0.08
189271,49906,7313,11657,22996,91872,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.26,0.1,0.08,0.11
258726,131467,44716,39424,43119,258726,Not in Debt,Zero-Balance Living,No,Yes,0.48,0.15,0.08,0.11
140353,76133,24166,41800,28157,170256,In Debt,Deficit Living,No,No,0.53,0.14,0.08,0.1
440375,210142,51156,119294,59783,440375,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
427341,213886,38837,47655,112179,412557,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.43,0.12,0.08,0.12
271161,100045,12166,59228,69713,241152,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.37,0.1,0.17,0.11
28314,10337,2688,4561,232,17818,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.37,0.09,0.12,0.05
443057,119612,21722,34979,79144,255457,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.27,0.12,0.08,0.12
290695,142913,26326,75498,45958,290695,Not in Debt,Zero-Balance Living,No,No,0.48,0.1,0.13,0.11
389805,232168,27857,68983,124171,453179,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
445955,166475,34836,64962,96053,362326,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.37,0.12,0.14,0.12
423787,157113,55578,47635,23946,284272,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.37,0.13,0.11,0.06
118080,43186,8700,20370,3871,76127,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.37,0.09,0.15,0.05
