race	age	engnat	gender	hand	source	country	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	O1	O2	O3	O4	O5	O6	O7	O8	O9	O10
11	18	2	2	1	1	PH	1	2	3	3	3	3	2	1	2	5	3	3	4	2	2	4	4	4	3	2	4	2	2	4	3	4	3	4	4	4	4	1	4	2	1	2	5	3	4	5	4	2	5	2	4	1	4	4	5	5
3	17	1	2	1	1	NZ	1	3	4	3	2	2	2	4	3	4	2	4	3	3	3	2	3	3	4	3	2	4	3	4	2	4	2	4	3	2	2	4	4	4	2	4	4	3	4	3	5	2	5	2	4	2	4	5	5	5
4	19	2	2	1	1	IN	3	4	3	3	3	3	1	3	5	5	5	4	4	2	4	4	4	5	4	3	3	2	5	3	5	2	5	2	2	4	2	1	4	1	3	1	4	2	3	5	1	1	4	3	4	1	5	3	2	5
13	19	2	2	1	1	IN	1	3	5	3	1	5	1	2	3	5	4	4	3	3	3	5	4	5	4	3	5	3	1	5	2	5	3	3	4	3	2	5	2	3	3	5	1	3	1	3	1	4	3	3	3	4	5	1	3	3
3	40	2	1	1	1	GB	1	4	4	4	4	2	2	4	3	4	2	2	4	1	2	2	2	1	2	1	1	4	1	4	1	2	2	4	4	4	3	1	4	1	3	1	2	2	4	3	2	2	3	2	4	1	4	2	4	4
4	23	2	2	1	1	IN	1	3	3	3	3	2	3	5	1	3	2	3	4	1	4	4	3	1	5	3	1	3	1	4	1	5	3	4	4	3	5	1	4	1	3	1	1	3	4	5	3	3	3	3	4	1	4	1	2	4
3	47	2	1	1	1	EE	2	4	3	3	3	2	2	4	3	4	2	4	2	4	2	2	2	2	2	2	3	3	2	4	3	4	3	3	3	3	2	3	3	2	3	4	3	3	3	3	4	2	3	2	4	3	3	3	4	4
11	27	2	2	1	1	IN	4	3	5	1	5	3	3	4	5	3	3	3	3	3	3	4	3	3	2	5	1	4	1	5	3	5	3	5	5	1	3	5	3	2	4	4	5	1	5	4	4	1	5	1	5	1	5	2	5	5
13	18	1	2	1	2	AU	2	1	4	1	5	2	5	2	4	1	3	4	4	4	4	4	3	3	4	2	4	5	4	4	1	5	2	4	3	3	5	4	2	4	2	4	4	3	4	3	4	2	5	1	4	1	5	5	5	4
3	24	1	2	1	1	AU	4	1	4	1	4	2	5	2	5	2	4	2	5	2	2	2	5	3	2	4	1	5	2	5	2	4	2	4	4	5	2	5	2	5	1	5	3	3	2	3	3	4	4	3	5	2	2	1	5	5
13	27	2	1	1	1	IN	2	4	2	4	4	3	2	2	4	4	3	2	4	2	3	3	4	4	4	2	4	2	3	3	1	5	2	3	4	3	2	3	4	2	3	3	3	3	3	4	3	2	4	2	4	2	4	4	3	4
3	58	2	2	1	1	IS	2	5	5	5	5	4	4	3	4	4	1	1	4	5	1	1	1	1	1	1	1	5	1	5	1	5	1	5	5	5	4	1	5	1	5	1	5	1	5	5	5	2	4	4	4	1	4	2	3	4
5	27	2	1	1	1	DK	1	1	4	1	5	1	4	3	4	1	1	2	2	3	1	1	1	1	1	1	5	5	1	4	1	2	1	5	4	5	5	1	5	1	1	1	2	1	5	5	5	1	5	1	5	1	5	1	5	5
3	26	1	3	1	1	US	1	3	3	4	3	3	2	4	3	5	5	3	5	1	4	4	5	5	4	5	1	5	1	5	1	5	1	5	5	4	3	3	5	3	3	2	4	2	3	4	5	1	5	1	4	1	5	5	5	5
4	20	2	1	1	1	IN	1	3	1	5	1	5	3	4	5	5	1	1	5	5	5	3	5	5	5	5	4	5	1	5	5	5	5	1	5	5	2	5	5	5	1	4	5	5	1	1	1	5	1	1	2	3	4	1	5	2
9	21	1	1	1	2	US	1	5	3	3	1	1	2	4	3	5	5	2	5	2	3	4	4	3	4	4	4	4	1	4	2	4	2	3	4	3	2	4	3	4	1	4	3	2	1	4	3	3	4	2	3	2	3	2	4	5
1	21	2	1	1	1	BR	2	5	3	5	2	5	1	5	3	5	1	4	5	4	5	5	5	5	5	5	1	2	1	5	1	5	3	3	4	5	5	1	5	2	2	5	5	3	2	5	5	1	5	1	5	1	5	5	5	5
11	17	2	2	1	1	PH	2	3	4	2	4	2	3	4	3	3	2	2	2	4	5	3	3	4	3	4	4	5	2	5	2	4	2	4	5	4	4	1	5	2	4	2	5	2	4	4	4	3	4	2	4	1	5	4	4	4
3	17	1	2	1	1	GB	3	1	2	4	4	2	4	2	2	5	5	2	5	4	5	5	5	5	5	4	1	4	4	4	1	4	1	5	5	4	3	5	5	4	2	5	5	4	4	4	4	3	3	2	3	4	1	2	2	2
3	17	1	2	1	1	GB	2	4	2	4	2	4	4	5	2	4	2	4	2	2	2	2	2	1	2	4	2	5	1	4	2	1	2	4	4	4	3	3	5	2	4	3	3	2	3	3	2	2	4	2	3	3	2	3	4	4
3	21	1	2	1	1	GB	2	5	4	5	3	4	2	4	4	5	4	5	3	4	5	1	1	1	5	2	2	5	2	4	2	4	2	3	4	3	1	4	3	5	2	5	4	2	4	3	3	4	3	3	3	2	2	2	2	2
3	40	2	1	1	1	NL	2	4	3	4	3	3	2	1	2	4	3	3	4	2	3	2	2	1	2	3	2	3	2	3	2	3	2	3	4	3	3	3	2	3	2	3	3	3	3	3	5	2	4	1	4	2	4	4	5	4
3	23	2	1	1	2	TR	1	2	1	1	2	2	4	4	4	4	1	2	2	3	2	1	4	4	4	4	2	3	2	2	1	2	4	4	4	5	1	2	2	3	3	2	3	3	5	5	3	2	1	2	2	2	3	4	4	5
3	23	1	2	1	1	AU	3	5	2	4	3	3	4	4	4	5	5	1	5	1	4	5	5	5	5	5	2	4	1	5	2	5	2	5	4	5	4	4	2	4	4	2	5	1	5	5	4	1	4	4	5	2	5	3	5	3
3	37	2	2	1	5	FR	5	3	3	3	3	4	5	5	2	5	4	2	4	1	4	1	4	3	1	3	1	5	1	5	1	5	1	5	5	5	3	3	5	1	4	2	4	1	3	5	4	3	2	1	3	5	5	5	4	2
5	20	2	1	1	1	LB	4	2	3	2	5	1	2	3	4	3	2	4	4	1	1	4	3	3	3	5	1	5	2	5	1	5	1	4	5	5	3	2	5	3	3	2	4	3	2	5	5	2	5	2	5	1	4	5	5	5
12	19	2	2	1	2	NG	1	3	5	5	5	4	1	5	1	2	2	5	4	5	3	4	4	4	5	1	5	5	1	5	1	5	1	5	5	5	3	3	5	4	5	4	3	3	2	5	4	2	5	3	4	4	5	2	5	1
3	17	1	2	1	1	AU	2	5	3	4	2	5	2	5	2	4	3	3	4	2	4	5	4	4	2	4	1	5	2	5	1	5	2	4	5	3	3	4	3	4	2	4	4	4	2	3	4	1	5	1	4	2	4	4	5	5
13	19	1	2	1	5	MY	3	4	4	4	4	3	4	4	4	3	3	4	4	4	3	3	3	3	4	4	4	4	3	4	4	4	4	3	4	3	4	3	4	3	4	3	3	3	4	3	4	3	3	3	4	3	3	3	4	4
3	38	1	1	1	1	US	1	3	4	4	4	3	1	4	4	5	1	5	2	5	1	1	1	1	1	1	1	4	1	4	1	4	3	4	4	3	4	5	5	1	4	2	4	1	3	4	5	1	5	1	4	1	5	4	5	5
3	19	1	1	1	1	AU	1	4	4	4	2	3	2	4	2	4	1	4	2	4	2	2	2	2	4	2	2	3	4	3	4	4	3	4	4	3	3	2	4	3	2	2	5	2	4	4	4	2	4	2	4	2	5	3	2	2
3	31	1	2	1	1	GB	2	2	4	2	4	2	4	4	2	2	2	3	3	4	2	2	4	2	2	2	4	4	4	1	5	2	4	2	2	3	3	1	4	2	3	2	4	2	4	4	4	4	5	4	2	2	3	2	2	3
4	22	2	2	1	1	IN	1	2	4	3	4	5	2	2	4	3	4	4	5	2	3	2	4	1	3	3	5	3	1	3	1	4	2	3	4	5	4	4	5	1	4	4	4	4	5	3	3	3	3	2	5	4	4	3	2	4
3	23	2	1	1	1	SE	2	5	3	5	3	4	2	5	2	4	3	3	4	3	3	4	3	4	4	3	4	3	3	4	3	3	4	4	3	3	5	3	4	4	2	3	5	3	5	4	4	2	2	2	3	4	5	4	4	3
13	18	2	2	1	1	IN	4	1	5	5	5	3	4	4	1	3	3	4	5	3	5	5	3	5	5	2	4	4	3	4	3	5	2	4	3	3	2	3	3	3	3	3	3	4	2	3	3	5	5	3	3	4	2	3	4	3
5	28	2	1	1	1	AZ	1	4	1	5	4	5	1	4	2	4	1	3	3	3	3	4	4	3	3	3	1	2	5	1	4	3	5	2	2	3	1	4	3	4	2	3	4	4	2	3	4	1	3	1	1	3	3	4	4	2
11	19	1	1	1	1	PH	3	4	5	5	5	2	4	2	3	5	1	5	1	1	3	3	5	3	4	3	2	3	2	5	5	5	3	4	5	4	5	1	5	1	5	3	5	3	5	4	4	1	4	2	4	1	5	5	4	5
10	22	1	1	1	1	NZ	1	4	4	4	3	4	3	5	2	5	4	3	4	4	2	3	3	3	5	5	2	4	1	5	3	5	2	4	5	3	2	3	2	2	2	2	5	3	4	5	1	2	5	5	3	1	4	1	5	3
4	26	2	1	1	5	IN	3	3	3	3	3	3	2	3	3	4	1	3	3	4	4	2	2	2	2	2	2	4	2	5	2	4	3	3	3	4	3	2	3	2	3	5	3	4	2	4	4	2	4	3	4	4	4	2	2	4
4	24	2	2	1	2	IN	3	1	5	3	5	2	5	3	3	1	4	3	4	2	4	4	4	4	2	1	3	5	1	3	3	4	3	4	3	5	4	4	4	4	2	3	4	2	3	4	3	2	5	2	4	1	5	2	4	4
3	46	1	2	1	2	US	2	3	3	2	3	2	1	4	3	4	2	5	3	3	1	5	1	2	2	2	1	5	1	5	1	4	1	5	5	4	3	2	4	1	4	1	4	1	5	4	5	1	4	1	5	1	5	5	5	5
3	15	1	2	1	1	GB	5	2	4	3	4	1	5	4	2	2	3	4	5	5	5	3	5	3	5	1	2	5	1	4	2	3	2	4	4	3	4	1	5	3	2	5	3	3	1	3	3	5	5	5	3	1	2	1	3	4
3	15	1	1	1	1	GB	5	1	5	1	5	2	5	3	5	2	3	4	3	4	3	2	5	4	5	1	3	3	4	3	2	2	3	2	4	4	2	4	4	4	3	5	1	4	3	2	2	2	4	4	4	1	4	3	4	3
4	18	1	2	1	2	IN	4	2	4	4	3	2	4	5	2	3	1	5	1	5	2	2	4	4	2	1	2	4	1	3	2	5	3	3	3	5	1	4	5	5	2	5	2	3	1	2	2	2	5	1	5	1	4	1	4	5
13	34	1	2	1	5	US	4	2	5	1	5	2	5	4	3	1	2	5	2	5	2	2	1	1	1	1	1	5	1	5	3	5	1	5	5	5	4	3	4	1	2	2	4	3	5	4	4	2	5	2	4	1	5	4	5	5
13	21	2	2	1	1	IN	1	5	3	4	2	4	4	4	5	5	4	3	4	2	1	1	4	4	4	1	5	2	1	3	2	2	3	3	4	4	2	1	5	1	5	1	5	3	5	5	5	1	5	1	5	1	5	5	5	5
13	19	2	1	1	1	EG	1	2	1	4	1	5	3	3	4	2	5	2	3	1	3	5	5	4	4	3	3	3	2	4	1	5	3	3	5	3	3	1	5	4	3	5	4	3	5	5	2	3	5	3	3	1	5	5	3	4
3	25	1	1	1	1	GB	3	5	4	4	2	5	2	5	2	3	4	3	4	3	3	2	1	1	4	2	3	3	3	1	3	1	4	4	2	3	3	1	4	2	2	4	3	2	3	3	2	2	5	1	3	1	4	2	2	3
13	18	1	2	1	1	KE	3	2	3	2	4	1	2	3	4	3	2	4	2	3	1	2	3	3	3	2	1	4	2	5	1	4	2	2	5	3	3	4	2	3	1	4	2	2	2	4	4	1	5	1	5	1	4	4	4	5
11	29	2	1	1	1	PK	3	3	2	4	4	4	3	3	4	4	3	3	5	3	4	5	5	5	5	5	1	4	1	5	1	5	2	2	5	4	2	2	4	4	2	5	4	4	2	2	4	4	5	4	5	5	2	2	5	5
11	13	1	2	1	1	SG	3	4	3	4	4	4	2	4	2	4	5	3	4	4	5	4	3	2	5	2	2	4	3	4	2	4	2	4	4	2	3	5	3	4	2	4	4	4	3	3	2	4	3	4	3	3	4	2	3	2
3	46	1	2	1	1	US	2	4	1	4	2	2	2	2	2	4	2	3	3	2	2	2	3	3	2	5	2	4	1	4	2	2	2	3	4	3	4	2	4	2	2	2	4	3	2	4	4	2	4	3	3	3	4	2	4	3
11	23	1	2	1	2	CH	4	2	3	1	4	1	4	3	2	3	1	5	2	4	5	4	5	5	2	1	4	4	1	5	3	5	2	4	5	5	3	1	5	1	3	1	2	2	5	5	2	1	5	1	5	1	5	1	3	5
13	18	1	2	1	2	GB	5	5	4	1	5	5	5	4	2	3	3	4	3	2	4	1	3	1	3	1	4	4	4	4	2	3	2	2	2	4	2	4	2	3	1	5	3	5	1	2	1	3	4	1	3	5	4	4	2	3
1	22	1	2	1	5	SG	4	2	4	3	4	2	2	3	3	2	4	4	4	3	4	3	3	4	2	4	2	4	2	4	2	4	2	4	4	4	2	2	3	2	3	2	4	3	4	3	3	2	3	2	3	3	4	3	4	3
13	17	1	1	1	2	GB	2	4	3	4	2	4	4	4	2	5	3	4	4	2	4	3	4	4	4	2	2	5	2	5	2	4	2	5	4	4	2	2	4	3	2	2	2	2	2	3	3	4	3	2	3	3	2	3	2	2
13	21	1	2	1	1	US	4	1	5	2	5	1	4	2	5	2	4	2	4	2	3	3	3	4	4	4	2	5	1	5	2	5	2	4	4	5	4	2	3	2	3	3	4	3	4	4	4	3	4	2	5	1	4	5	2	5
1	17	1	1	1	2	GB	5	2	5	1	4	1	5	1	4	2	2	5	1	5	2	1	2	1	1	1	4	4	2	3	2	4	2	4	3	5	2	4	5	2	2	2	4	2	3	5	3	2	4	3	4	1	4	1	3	5
13	17	1	1	2	2	GB	3	2	3	3	4	2	4	2	4	3	4	2	4	3	4	3	4	4	4	4	3	4	4	3	3	3	2	4	4	4	4	2	4	4	2	2	4	4	4	3	3	3	4	3	3	2	4	3	4	4
13	17	1	1	1	2	GB	2	3	3	3	3	3	1	5	2	4	4	3	3	2	3	2	2	2	3	2	1	4	2	4	3	4	2	3	4	4	4	2	4	2	4	5	5	3	4	4	2	2	3	3	4	4	3	2	3	4
13	17	1	1	1	2	GB	1	5	5	5	5	5	1	5	1	5	2	5	2	4	5	2	3	2	4	2	3	4	2	3	2	5	4	2	3	3	5	1	5	2	5	1	2	1	4	4	2	5	4	4	4	5	4	2	5	2
3	35	1	1	2	1	GB	1	5	2	4	1	5	1	5	1	5	2	5	1	1	2	1	2	1	3	4	4	2	1	4	5	1	5	1	2	4	1	3	1	2	5	1	3	4	1	1	5	1	1	1	5	4	5	5	1	2
3	14	2	1	1	5	NO	1	4	2	5	1	4	1	5	1	5	2	4	4	3	1	4	3	3	4	5	1	4	3	5	1	5	1	5	5	5	2	4	4	4	1	5	1	4	2	1	4	2	4	1	4	1	4	4	5	5
3	19	1	2	1	1	GB	2	3	4	4	2	4	4	5	2	4	4	2	5	3	3	3	4	3	4	3	2	5	3	4	2	4	2	4	4	3	4	3	5	3	4	2	5	1	4	4	3	4	3	2	4	4	4	3	2	3
3	37	2	1	1	1	BR	1	4	3	4	2	2	2	3	4	5	2	3	4	3	3	2	2	2	2	3	1	3	1	4	1	5	1	3	3	4	3	4	3	2	2	3	3	4	4	3	4	1	4	1	3	1	3	3	3	3
3	33	1	2	1	5	GB	2	3	4	2	4	2	4	3	4	4	1	3	3	4	2	2	3	2	2	2	1	4	1	4	2	2	2	4	2	4	4	3	4	1	3	3	3	2	4	4	5	2	2	2	3	2	4	4	4	4
8	19	1	2	1	2	US	5	2	5	2	5	2	2	5	2	3	3	5	3	3	3	5	5	5	5	3	1	5	2	5	1	5	1	5	5	5	4	1	5	1	5	1	5	3	3	3	3	3	3	2	5	1	5	3	5	5
3	25	1	1	1	1	US	4	4	2	4	4	2	3	5	2	4	1	4	2	4	1	1	2	1	1	1	5	5	4	1	4	1	4	1	1	3	5	1	4	2	2	1	2	2	3	4	2	2	5	3	5	1	5	2	4	4
3	29	1	2	1	1	GB	3	2	4	3	4	1	3	4	2	4	3	4	5	3	2	4	4	4	4	4	1	5	2	5	2	2	1	4	4	4	5	4	4	4	3	2	4	1	4	4	5	5	5	3	3	1	5	4	4	3
3	35	2	2	1	1	BR	4	5	3	5	3	3	5	4	3	5	3	3	4	4	2	3	3	2	2	3	4	5	3	5	1	4	1	3	4	4	4	4	4	5	2	4	3	2	5	3	3	1	5	2	3	1	5	3	4	4
13	42	2	1	1	1	BR	1	5	4	3	1	2	1	3	5	5	2	4	4	1	2	2	2	1	3	1	3	4	2	4	4	4	4	2	4	4	3	2	4	1	3	3	3	3	2	4	4	4	5	4	5	1	4	2	5	5
11	16	2	1	1	5	ID	1	3	2	5	1	3	1	4	2	5	4	5	4	5	5	4	3	3	3	4	4	5	3	4	2	3	1	4	4	3	1	3	4	4	1	5	2	5	1	3	3	3	4	3	2	1	3	4	4	2
3	30	1	1	1	2	US	3	4	4	4	2	2	4	5	5	5	2	4	2	3	4	2	4	4	2	4	1	4	2	4	2	4	2	4	5	4	3	5	2	2	2	4	4	4	1	5	4	1	5	1	5	1	5	5	5	5
11	14	2	1	1	1	PH	2	2	3	3	5	2	2	3	4	5	2	3	4	3	3	3	3	2	3	3	4	3	2	4	2	5	4	4	5	5	3	3	3	2	3	4	3	3	2	3	4	2	3	2	4	1	5	4	5	5
6	18	1	2	1	2	US	1	1	5	4	5	1	5	3	5	1	3	3	5	1	3	2	2	1	1	1	5	5	1	5	1	5	1	5	5	5	4	3	3	2	3	1	3	1	5	5	2	4	4	5	5	1	3	1	3	5
8	48	1	2	2	2	US	1	2	4	1	4	1	1	1	1	1	1	4	3	2	2	1	1	1	3	1	2	3	1	4	2	3	1	3	3	4	4	1	3	1	5	1	4	1	4	4	2	1	2	2	4	5	3	1	1	4
13	42	1	2	1	2	US	1	5	2	5	1	4	1	5	1	5	2	5	4	3	2	1	1	1	1	3	2	5	1	5	1	5	1	5	5	4	5	1	5	1	3	1	5	2	5	4	2	2	4	2	4	2	4	2	4	4
1	14	1	1	1	1	US	3	1	5	5	5	3	3	3	5	3	5	3	5	3	5	5	5	4	5	3	5	5	5	3	3	5	3	3	5	3	4	3	5	5	3	5	5	3	3	3	1	3	5	3	3	3	4	3	5	3
3	14	1	1	1	1	US	4	2	4	2	4	4	4	3	4	5	3	4	4	3	2	4	3	1	4	3	4	3	5	4	3	4	2	4	4	4	3	5	5	3	1	5	3	4	3	5	5	2	5	3	5	1	4	4	5	5
3	31	1	1	2	3	US	2	4	4	4	3	4	3	4	3	4	2	4	4	3	4	1	2	2	2	2	2	4	2	5	2	4	2	5	4	5	4	2	4	2	2	2	3	3	3	4	3	4	4	2	4	1	4	2	4	4
11	17	2	2	1	2	PH	1	1	4	4	5	1	1	1	5	3	5	5	3	3	5	5	5	5	2	4	5	5	1	4	1	5	1	5	5	5	3	5	4	5	3	5	5	3	3	5	3	1	5	1	3	5	5	3	5	4
11	16	2	2	1	5	PH	1	5	1	4	1	5	1	1	1	5	5	2	5	1	5	5	5	5	5	5	1	1	1	5	3	5	4	5	5	1	4	4	5	5	1	5	3	4	4	4	5	1	5	1	5	1	5	5	5	5
4	21	2	1	1	1	IN	1	3	4	5	5	1	4	5	5	5	3	5	3	5	5	3	5	1	5	5	5	4	1	5	1	5	1	5	1	3	5	5	4	5	5	3	1	1	3	5	1	1	3	2	4	1	5	1	5	4
3	68	1	2	1	1	US	3	4	3	4	4	1	3	4	3	4	3	4	5	3	3	3	2	2	2	3	1	5	1	5	1	5	1	5	5	5	5	2	5	2	4	2	4	1	4	5	5	1	5	1	4	1	3	4	5	4
3	25	1	1	1	3	US	4	2	2	2	4	2	3	3	3	3	4	3	4	3	3	3	4	3	4	3	2	4	2	4	2	3	2	4	4	3	4	2	5	2	3	3	4	2	3	4	4	2	4	2	4	2	4	5	5	4
3	51	1	2	1	1	US	4	1	5	2	5	2	5	3	4	5	4	4	2	4	3	3	2	1	4	1	4	4	5	1	5	3	5	1	1	5	4	1	1	1	5	1	5	1	1	4	4	4	1	5	3	2	4	4	1	3
3	48	1	1	1	1	US	2	2	2	2	4	1	2	2	2	4	4	2	5	2	3	2	4	3	2	2	1	4	4	3	1	4	2	4	3	1	4	2	4	3	4	3	5	1	4	4	4	2	4	3	4	5	5	4	5	5
4	26	1	1	1	1	ZA	5	1	5	3	5	2	5	4	4	3	1	5	5	2	2	1	4	1	1	2	1	2	1	5	1	5	1	5	5	4	5	3	1	2	4	2	5	1	5	4	2	1	5	1	4	1	5	1	4	4
13	23	1	1	1	5	BZ	3	2	3	2	4	1	4	3	3	2	3	2	3	4	3	1	4	3	2	4	2	5	2	2	5	3	1	2	2	3	3	1	4	2	2	2	5	3	3	3	3	3	4	4	5	2	3	3	4	4
4	20	2	2	1	1	IN	2	1	5	2	4	4	2	2	4	3	2	3	4	1	1	1	4	2	2	1	4	2	2	4	2	4	2	5	4	5	3	3	5	1	3	2	2	2	5	5	4	4	5	1	5	1	5	2	3	5
8	15	1	2	1	1	US	3	1	1	4	2	2	5	1	5	2	5	1	5	1	1	5	5	4	5	4	1	3	4	5	2	4	2	4	3	3	1	5	3	5	2	5	5	3	3	3	2	5	5	1	3	1	1	1	3	4
3	15	1	2	1	1	US	4	2	5	1	3	1	4	2	5	5	4	4	4	3	4	4	5	3	2	3	1	4	2	4	1	5	2	4	5	3	3	2	3	3	5	4	3	3	3	3	3	3	3	3	3	2	4	1	3	4
3	22	1	2	1	5	GB	4	1	4	1	5	1	5	2	4	2	4	2	4	2	5	4	3	2	3	2	1	4	4	4	2	5	2	4	4	4	3	5	2	4	2	5	2	2	1	3	4	4	5	4	3	1	4	3	5	4
11	18	2	2	2	1	PH	3	4	3	2	3	3	5	3	2	5	3	2	5	2	1	2	3	3	1	4	5	3	2	5	2	5	2	5	5	3	2	2	5	3	2	4	4	2	2	3	4	2	5	1	5	1	4	2	5	4
3	18	1	2	1	5	US	1	5	3	5	2	4	1	4	2	5	4	4	5	2	2	1	2	1	2	3	2	4	3	4	2	3	2	4	5	2	4	3	5	2	2	4	3	2	4	4	4	2	5	2	4	1	4	4	5	3
1	14	1	1	1	1	US	1	3	2	4	2	3	1	4	3	3	3	3	3	3	3	3	2	2	3	2	4	1	4	3	4	3	4	3	2	1	1	3	3	3	3	3	3	3	3	3	4	1	4	5	3	3	4	5	5	4
13	29	2	1	1	5	IN	3	4	3	4	4	3	2	4	4	4	3	3	5	3	5	5	5	5	5	3	2	4	1	5	1	5	1	4	5	4	5	4	5	5	5	3	5	2	5	4	4	3	4	3	4	3	4	3	4	5
3	19	1	2	1	5	US	3	3	4	2	5	1	5	2	5	2	5	4	5	4	4	4	2	3	4	2	1	5	1	5	1	5	1	4	4	4	2	1	4	1	2	2	4	2	1	3	4	1	5	1	4	1	4	2	5	5
13	21	2	2	1	1	PK	3	3	3	3	2	3	2	4	4	4	3	3	4	3	4	2	2	2	4	2	4	3	2	5	3	4	2	3	4	2	2	4	2	4	3	2	3	3	2	3	3	3	3	3	3	2	3	2	3	2
3	36	1	1	1	2	GB	3	1	3	3	1	3	4	3	1	5	4	2	5	2	3	1	3	1	2	3	3	3	4	4	3	2	2	3	2	3	1	1	4	3	2	4	5	2	5	5	1	3	5	3	4	4	4	1	2	4
4	21	2	1	1	1	IN	1	4	2	4	1	4	1	2	4	4	4	2	4	4	5	4	4	4	5	2	3	4	2	4	3	4	2	2	3	2	2	4	3	4	1	4	3	2	2	3	1	3	4	4	2	4	3	2	3	2
3	22	1	1	1	1	CA	2	3	3	4	5	2	3	3	4	1	3	2	4	2	2	4	3	4	4	4	4	3	3	2	4	2	4	4	4	3	2	3	2	3	3	3	4	3	2	4	2	2	4	2	4	1	3	2	4	4
8	16	1	1	2	1	US	5	5	1	1	5	5	1	1	5	5	5	5	1	1	5	5	1	1	5	5	5	5	1	1	5	5	1	1	5	5	5	5	1	1	5	5	1	1	5	5	5	5	1	1	5	5	1	1	5	5
3	41	2	2	1	1	CZ	4	1	4	2	5	1	4	3	4	2	5	2	4	2	5	4	4	4	2	4	3	5	1	5	2	5	1	3	5	5	2	5	4	4	3	5	3	5	2	3	5	1	1	2	4	1	4	4	4	4
3	49	2	1	1	1	RO	1	4	1	4	3	2	2	5	4	5	4	2	4	2	4	3	3	4	4	3	1	5	1	5	2	4	3	4	4	4	3	3	4	3	2	3	2	3	3	2	4	4	4	3	4	2	4	2	5	4
3	32	1	2	1	5	AU	3	4	2	4	3	2	3	4	3	4	5	3	4	2	5	4	4	5	5	4	1	5	2	5	2	5	2	5	5	5	3	5	1	5	1	5	1	4	1	2	2	5	5	5	2	1	5	1	4	2
3	30	1	1	1	1	GB	4	2	5	2	4	2	4	2	5	2	1	5	4	2	3	2	2	1	2	1	1	4	2	5	2	4	1	4	4	3	4	4	4	2	1	4	3	2	5	4	5	1	4	2	5	1	4	4	4	4
1	16	1	2	1	1	US	3	1	4	3	5	1	2	3	3	3	5	4	4	1	5	4	5	5	5	5	5	5	4	5	3	3	3	2	5	4	1	5	2	5	1	5	4	5	2	2	3	5	1	5	1	5	4	3	5	1
12	42	1	1	1	1	NG	5	5	4	4	2	2	5	5	2	2	5	5	4	4	2	2	5	5	2	2	5	5	4	4	2	2	5	5	2	2	5	5	4	4	2	2	5	5	2	2	5	5	4	4	2	2	5	5	2	2
3	44	1	2	2	1	US	4	1	5	2	5	1	5	2	2	1	3	4	4	5	1	2	2	1	2	1	1	5	1	5	2	4	1	3	4	5	3	2	4	1	2	2	4	2	4	4	5	1	4	1	4	2	5	4	5	5
13	17	2	2	1	1	IN	3	3	5	5	5	1	5	2	4	4	3	5	5	2	5	4	4	5	2	3	1	4	1	5	3	5	1	4	3	5	4	3	5	2	3	4	5	1	4	3	2	1	5	1	3	1	2	3	5	5
11	18	2	2	1	2	CA	2	3	3	3	3	4	2	4	3	5	5	3	5	3	4	4	4	4	4	3	4	3	4	4	2	3	3	5	4	3	4	2	3	2	4	3	5	3	5	3	2	5	3	4	4	3	4	2	4	3
4	20	2	2	1	1	IN	1	5	3	1	3	1	5	1	5	1	5	1	5	3	5	5	5	5	5	3	1	3	3	5	1	5	1	1	5	5	1	5	5	5	3	5	1	3	1	1	1	1	5	1	5	1	1	1	3	5
3	27	1	2	1	2	GB	2	2	5	3	5	1	5	3	2	2	3	3	3	3	4	2	1	2	2	2	5	5	1	4	2	3	1	4	5	5	4	4	3	3	3	3	5	1	4	3	4	2	2	3	4	3	5	3	4	4
3	54	1	1	1	1	US	2	3	4	2	2	2	2	2	3	4	2	2	3	4	2	2	2	1	2	2	2	4	2	4	2	3	2	4	4	4	4	2	4	3	2	2	4	2	4	4	4	2	3	2	4	2	4	4	4	3
3	28	2	2	2	1	DK	4	3	5	2	4	1	5	2	5	3	2	5	5	2	1	3	2	1	2	1	1	5	1	5	1	5	1	5	5	5	5	1	5	1	5	1	5	5	3	5	5	3	5	1	5	1	4	5	4	5
3	26	1	1	1	2	US	5	2	5	1	5	2	5	2	5	2	4	4	3	3	2	4	2	3	4	2	1	4	3	5	2	5	1	4	5	3	2	4	3	4	2	4	2	3	2	2	5	1	4	1	4	2	4	4	5	4
3	17	1	2	2	2	GB	1	4	2	5	2	4	2	5	1	5	4	2	5	1	4	5	5	4	5	4	1	3	2	4	3	4	3	4	4	2	4	2	4	4	2	5	4	3	4	3	3	2	4	2	2	2	4	2	4	4
3	19	1	1	1	1	US	2	3	1	3	1	2	1	3	4	5	1	4	3	1	2	1	4	4	1	1	1	3	1	4	2	4	2	4	2	3	1	4	1	4	1	5	2	4	1	3	4	1	5	2	5	1	4	3	5	5
3	22	2	2	1	2	SE	2	3	2	4	3	3	1	2	2	3	3	3	4	1	3	4	3	4	2	4	2	4	2	3	2	5	3	4	3	3	4	5	2	2	1	4	2	3	1	3	3	3	2	4	3	3	3	3	5	3
